_a_-_a	a (glotal) a
_n_an_n_an_n	nan nan n
_n_en_n_en_n	nen nen n
_n_in_n_in_n	nin nin n
_n_on_n_on_n	non non n
_n_un_n_un_n	nun nun n
_n_ax_n_ax_n	nax nax n
_nh_a_nh_a_nh	nha nha nh
_nh_e_nh_e_nh	nhe nhe nh
_nh_i_nh_i_nh	nhi nhi nh
_nh_o_nh_o_nh	nho nho nh
_nh_u_nh_u_nh	nhu nhu nh
_nh_eh_nh_eh_nh	nheh nheh nh
_nh_oh_nh_oh_nh	nhoh nhoh nh
_nh_an_nh_an_nh	nhan nhan nh
_nh_en_nh_en_nh	nhen nhen nh
_nh_in_nh_in_nh	nhin nhin nh
_nh_on_nh_on_nh	nhon nhon nh
_nh_un_nh_un_nh	nhun nhun nh
_nh_ax_nh_ax_nh	nhax nhax nh
_p_a_p_a_p	pa pa p
_p_e_p_e_p	pe pe p
_p_i_p_i_p	pi pi p
_p_o_p_o_p	po po p
_p_u_p_u_p	pu pu p
_p_eh_p_eh_p	peh peh p
_p_oh_p_oh_p	poh poh p
_p_an_p_an_p	pan pan p
_p_en_p_en_p	pen pen p
_p_in_p_in_p	pin pin p
_p_on_p_on_p	pon pon p
_p_un_p_un_p	pun pun p
_p_ax_p_ax_p	pax pax p
_r_a_r_a_r	ra ra r
_r_e_r_e_r	re re r
_r_i_r_i_r	ri ri r
_r_o_r_o_r	ro ro r
_r_u_r_u_r	ru ru r
_r_eh_r_eh_r	reh reh r
_r_oh_r_oh_r	roh roh r
_r_an_r_an_r	ran ran r
_r_en_r_en_r	ren ren r
_r_in_r_in_r	rin rin r
_r_on_r_on_r	ron ron r
_r_un_r_un_r	run run r
_r_ax_r_ax_r	rax rax r
_s_a_s_a_s	sa sa s
_s_e_s_e_s	se se s
_s_i_s_i_s	si si s
_s_o_s_o_s	so so s
_s_u_s_u_s	su su s
_s_eh_s_eh_s	seh seh s
_s_oh_s_oh_s	soh soh s
_s_an_s_an_s	san san s
_s_en_s_en_s	sen sen s
_s_in_s_in_s	sin sin s
_s_on_s_on_s	son son s
_s_un_s_un_s	sun sun s
_s_ax_s_ax_s	sax sax s
_sh_a_sh_a_sh	sha sha sh
_sh_e_sh_e_sh	she she sh
_sh_i_sh_i_sh	shi shi sh
_sh_o_sh_o_sh	sho sho sh
_sh_u_sh_u_sh	shu shu sh
_sh_eh_sh_eh_sh	sheh sheh sh
_sh_oh_sh_oh_sh	shoh shoh sh
_sh_an_sh_an_sh	shan shan sh
_sh_en_sh_en_sh	shen shen sh
_sh_in_sh_in_sh	shin shin sh
_sh_on_sh_on_sh	shon shon sh
_sh_un_sh_un_sh	shun shun sh
_sh_ax_sh_ax_sh	shax shax sh
_t_a_t_a_t	ta ta t
_t_e_t_e_t	te te t
_t_i_t_i_t	ti ti t
_t_o_t_o_t	to to t
_t_u_t_u_t	tu tu t
_t_eh_t_eh_t	teh teh t
_t_oh_t_oh_t	toh toh t
_t_an_t_an_t	tan tan t
_t_en_t_en_t	ten ten t
_t_in_t_in_t	tin tin t
_t_on_t_on_t	ton ton t
_t_un_t_un_t	tun tun t
_t_ax_t_ax_t	tax tax t
_v_a_v_a_v	va va v
_v_e_v_e_v	ve ve v
_v_i_v_i_v	vi vi v
_v_o_v_o_v	vo vo v
_v_u_v_u_v	vu vu v
_v_eh_v_eh_v	veh veh v
_v_oh_v_oh_v	voh voh v
_v_an_v_an_v	van van v
_v_en_v_en_v	ven ven v
_v_in_v_in_v	vin vin v
_v_on_v_on_v	von von v
_v_un_v_un_v	vun vun v
_v_ax_v_ax_v	vax vax v
_w_a_w_a_w	wa wa w
_w_e_w_e_w	we we w
_w_i_w_i_w	wi wi w
_w_o_w_o_w	wo wo w
_w_u_w_u_w	wu wu w
_w_eh_w_eh_w	weh weh w
_w_oh_w_oh_w	woh woh w
_w_an_w_an_w	wan wan w
_w_en_w_en_w	wen wen w
_w_in_w_in_w	win win w
_w_on_w_on_w	won won w
_w_un_w_un_w	wun wun w
_w_ax_w_ax_w	wax wax w
_x_a_x_a_x	xa xa x
_x_e_x_e_x	xe xe x
_x_i_x_i_x	xi xi x
_x_o_x_o_x	xo xo x
_x_u_x_u_x	xu xu x
_x_eh_x_eh_x	xeh xeh x
_x_oh_x_oh_x	xoh xoh x
_x_an_x_an_x	xan xan x
_x_en_x_en_x	xen xen x
_x_in_x_in_x	xin xin x
_x_on_x_on_x	xon xon x
_x_un_x_un_x	xun xun x
_x_ax_x_ax_x	xax xax x
_y_a_y_a_y	ya ya y
_y_e_y_e_y	ye ye y
_y_i_y_i_y	yi yi y
_y_o_y_o_y	yo yo y
_y_u_y_u_y	yu yu y
_y_eh_y_eh_y	yeh yeh y
_y_oh_y_oh_y	yoh yoh y
_y_an_y_an_y	yan yan y
_y_en_y_en_y	yen yen y
_y_in_y_in_y	yin yin y
_y_on_y_on_y	yon yon y
_y_un_y_un_y	yun yun y
_y_ax_y_ax_y	yax yax y
_z_a_z_a_z	za za z
_z_e_z_e_z	ze ze z
_z_i_z_i_z	zi zi z
_z_o_z_o_z	zo zo z
_z_u_z_u_z	zu zu z
_z_eh_z_eh_z	zeh zeh z
_z_oh_z_oh_z	zoh zoh z
_z_an_z_an_z	zan zan z
_z_en_z_en_z	zen zen z
_z_in_z_in_z	zin zin z
_z_on_z_on_z	zon zon z
_z_un_z_un_z	zun zun z
_z_ax_z_ax_z	zax zax z
